timestamp,FSR0,FSR1,FSR2,FSR3
24383.0,68.0,72.0,69.0,67.0
24384.0,65.0,72.0,71.0,69.0
24393.0,67.0,73.0,72.0,70.0
24403.0,65.0,72.0,69.0,69.0
24413.0,67.0,73.0,72.0,70.0
24423.0,64.0,71.0,70.0,68.0
24433.0,66.0,73.0,72.0,70.0
24443.0,62.0,70.0,70.0,70.0
24451.0,69.0,76.0,74.0,73.0
24468.0,67.0,72.0,73.0,71.0
24468.0,68.0,74.0,73.0,72.0
24484.0,66.0,72.0,72.0,70.0
24494.0,64.0,71.0,70.0,68.0
24516.0,65.0,71.0,70.0,69.0
24517.0,63.0,69.0,68.0,67.0
24533.0,68.0,77.0,74.0,75.0
24543.0,67.0,72.0,72.0,70.0
24553.0,67.0,75.0,73.0,72.0
24575.0,64.0,72.0,71.0,70.0
24602.0,67.0,71.0,72.0,72.0
24603.0,67.0,75.0,73.0,73.0
24612.0,68.0,76.0,75.0,74.0
24621.0,64.0,69.0,70.0,67.0
24623.0,65.0,70.0,70.0,68.0
24637.0,63.0,69.0,68.0,67.0
24646.0,74.0,81.0,80.0,76.0
24653.0,65.0,71.0,70.0,68.0
24662.0,65.0,72.0,70.0,68.0
24677.0,63.0,69.0,67.0,64.0
24687.0,70.0,79.0,76.0,75.0
24703.0,65.0,71.0,71.0,69.0
24704.0,67.0,72.0,72.0,69.0
24712.0,69.0,75.0,74.0,72.0
24722.0,67.0,71.0,70.0,69.0
24723.0,65.0,71.0,71.0,69.0
24732.0,64.0,70.0,70.0,69.0
24745.0,65.0,72.0,71.0,70.0
24750.0,66.0,73.0,72.0,69.0
24763.0,68.0,70.0,71.0,69.0
24765.0,65.0,71.0,72.0,69.0
24774.0,65.0,72.0,71.0,69.0
24783.0,68.0,74.0,73.0,72.0
24805.0,69.0,75.0,75.0,75.0
24815.0,64.0,69.0,69.0,66.0
24824.0,67.0,75.0,74.0,72.0
24833.0,64.0,70.0,69.0,70.0
24842.0,64.0,70.0,70.0,67.0
24858.0,62.0,69.0,65.0,66.0
24874.0,65.0,70.0,70.0,68.0
24875.0,63.0,70.0,69.0,67.0
24883.0,63.0,71.0,70.0,69.0
24890.0,67.0,76.0,75.0,73.0
24891.0,70.0,75.0,74.0,71.0
24915.0,64.0,71.0,71.0,69.0
24933.0,68.0,76.0,75.0,72.0
24943.0,66.0,74.0,72.0,70.0
24952.0,68.0,73.0,72.0,71.0
24953.0,63.0,69.0,69.0,68.0
24963.0,64.0,71.0,70.0,68.0
24978.0,62.0,68.0,67.0,65.0
25006.0,69.0,79.0,77.0,74.0
25023.0,66.0,73.0,72.0,72.0
25032.0,69.0,75.0,75.0,72.0
25042.0,65.0,71.0,71.0,69.0
25051.0,69.0,77.0,74.0,72.0
25063.0,65.0,70.0,74.0,70.0
25072.0,65.0,70.0,70.0,69.0
25082.0,61.0,67.0,68.0,66.0
25083.0,62.0,71.0,70.0,71.0
25092.0,67.0,75.0,73.0,71.0
25108.0,68.0,74.0,74.0,72.0
25124.0,66.0,72.0,71.0,70.0
25134.0,63.0,71.0,70.0,68.0
25153.0,67.0,75.0,73.0,71.0
25163.0,67.0,73.0,69.0,69.0
25174.0,63.0,70.0,69.0,67.0
25194.0,67.0,75.0,73.0,71.0
25195.0,64.0,69.0,69.0,67.0
25201.0,64.0,72.0,69.0,70.0
25215.0,67.0,75.0,73.0,71.0
25222.0,67.0,74.0,74.0,72.0
25234.0,68.0,69.0,73.0,71.0
25234.0,64.0,72.0,72.0,68.0
25253.0,70.0,77.0,72.0,71.0
25277.0,66.0,72.0,70.0,69.0
25278.0,64.0,68.0,68.0,67.0
25287.0,72.0,79.0,80.0,76.0
25303.0,66.0,72.0,71.0,70.0
25304.0,64.0,72.0,72.0,69.0
25313.0,66.0,73.0,72.0,70.0
25314.0,63.0,69.0,69.0,67.0
25323.0,65.0,71.0,71.0,68.0
25344.0,69.0,75.0,74.0,71.0
25363.0,66.0,73.0,73.0,70.0
25364.0,65.0,73.0,72.0,71.0
25373.0,66.0,72.0,72.0,70.0
25383.0,65.0,73.0,70.0,69.0
25393.0,65.0,73.0,71.0,70.0
25394.0,64.0,69.0,68.0,68.0
25403.0,65.0,71.0,70.0,69.0
25413.0,66.0,73.0,71.0,69.0
25424.0,64.0,71.0,71.0,69.0
25441.0,63.0,71.0,68.0,67.0
25460.0,62.0,69.0,68.0,67.0
25475.0,68.0,76.0,72.0,71.0
25481.0,65.0,71.0,71.0,70.0
25496.0,64.0,72.0,69.0,70.0
25501.0,65.0,70.0,72.0,71.0
25520.0,64.0,71.0,69.0,68.0
25535.0,67.0,75.0,74.0,70.0
25536.0,64.0,72.0,71.0,68.0
25564.0,68.0,76.0,75.0,74.0
25585.0,70.0,78.0,76.0,75.0
25594.0,67.0,73.0,73.0,71.0
25596.0,63.0,68.0,67.0,68.0
25604.0,71.0,79.0,76.0,73.0
25605.0,69.0,77.0,75.0,73.0
25626.0,68.0,77.0,76.0,73.0
25627.0,66.0,74.0,74.0,71.0
25647.0,69.0,76.0,76.0,73.0
25657.0,62.0,66.0,65.0,65.0
25683.0,67.0,73.0,73.0,70.0
25684.0,66.0,72.0,72.0,69.0
25693.0,67.0,72.0,71.0,69.0
25694.0,63.0,69.0,67.0,67.0
25704.0,65.0,72.0,71.0,70.0
25712.0,67.0,75.0,73.0,70.0
25714.0,63.0,68.0,69.0,67.0
25755.0,67.0,75.0,73.0,71.0
25756.0,66.0,72.0,71.0,69.0
25765.0,72.0,77.0,77.0,76.0
25765.0,70.0,76.0,75.0,74.0
25775.0,64.0,70.0,70.0,68.0
25776.0,62.0,67.0,68.0,67.0
25796.0,65.0,73.0,71.0,70.0
25815.0,67.0,73.0,75.0,71.0
25816.0,64.0,68.0,69.0,68.0
25834.0,66.0,70.0,71.0,69.0
25865.0,68.0,76.0,76.0,73.0
25883.0,63.0,74.0,73.0,71.0
25903.0,65.0,72.0,71.0,70.0
25917.0,63.0,67.0,67.0,67.0
25924.0,68.0,77.0,76.0,74.0
25934.0,65.0,70.0,70.0,68.0
25956.0,66.0,71.0,71.0,69.0
25957.0,62.0,70.0,68.0,67.0
25973.0,70.0,73.0,72.0,67.0
25988.0,69.0,76.0,75.0,73.0
26012.0,65.0,72.0,71.0,70.0
26024.0,69.0,75.0,75.0,72.0
26031.0,65.0,72.0,72.0,71.0
26053.0,63.0,70.0,70.0,68.0
26068.0,62.0,73.0,72.0,74.0
26083.0,66.0,73.0,71.0,66.0
26093.0,67.0,70.0,66.0,68.0
26103.0,68.0,74.0,70.0,68.0
